nome_do_fornecedor,cnpj,cpf
Indústria de Materiais Elétricos Ltda,58.123.456/0001-90,SEM CADASTRO
Comércio de Ferramentas JM,12.345.678/0001-78,SEM CADASTRO
Distribuidora de Equipamentos de Informática,34.567.890/0001-56,SEM CADASTRO
Fábrica de Móveis Pereira,SEM CADASTRO,987.654.321-00
Importadora de Peças Automotivas Global,41.234.567/0002-10,SEM CADASTRO
Supermercado Regional,78.901.234/0003-32,SEM CADASTRO
Material de Construção Silva,SEM CADASTRO,234.567.890-11
Loja de Artigos Esportivos Top Sports,65.432.101/0004-54,SEM CADASTRO
Editora Cultural Ltda,98.765.432/0005-76,SEM CADASTRO
Farmácia Popular,10.123.456/0006-98,SEM CADASTRO
Fornecedor de Equipamentos de Segurança,32.101.234/0007-19,SEM CADASTRO
Distribuidora de Material de Limpeza,54.321.098/0008-31,SEM CADASTRO
Atacado de Alimentos Costa,87.654.321/0009-53,SEM CADASTRO
Confecção de Uniformes Almeida,SEM CADASTRO,123.456.789-22
Papelaria & Cia,43.210.987/0010-75,SEM CADASTRO
